symptoms,disease
 muscle wasting  patches in throat  high fever  extra marital contacts ,"AIDS ,avoid open cuts ,wear ppe if possible ,consult doctor ,follow up <"
 fatigue  weight loss  restlessness  lethargy  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria ,"Diabetes ,have balanced diet ,exercise ,consult doctor ,follow up <"
 vomiting  sunken eyes  dehydration  diarrhoea ,"Gastroenteritis ,stop eating solid food for while ,try taking small sips of water ,rest ,ease back into eating <"
 fatigue  cough  high fever  breathlessness  family history  mucoid sputum ,"Bronchial Asthma ,switch to loose cloothing ,take deep breaths ,get away from trigger ,seek help <"
 headache  chest pain  dizziness  loss of balance  lack of concentration ,"Hypertension ,meditation ,salt baths ,reduce stress ,get proper sleep <"
 acidity  indigestion  headache  blurred and distorted vision  excessive hunger  stiff neck  depression  irritability  visual disturbances ,"Migraine ,meditation ,reduce stress ,use poloroid glasses in sun ,consult doctor <"
 back pain  weakness in limbs  neck pain  dizziness  loss of balance ,"Cervical spondylosis ,use heating pad or cold pack ,exercise ,take otc pain reliver ,consult doctor <"
 vomiting  headache  weakness of one body side  altered sensorium ,"Paralysis (brain hemorrhage) ,massage ,eat healthy ,exercise ,consult doctor <"
itching  vomiting  fatigue  weight loss  high fever  yellowish skin  dark urine  abdominal pain ,"Jaundice ,drink plenty of water ,consume milk thistle ,eat fruits and high fiberous food ,medication <"
 chills  vomiting  high fever  sweating  headache  nausea  diarrhoea  muscle pain ,"Malaria ,Consult nearest hospital ,avoid oily food ,avoid non veg food ,keep mosquitos out <"
itching  skin rash  fatigue  lethargy  high fever  headache  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body ,"Chicken pox ,use neem in bathing  ,consume neem leaves ,take vaccine ,avoid public places <"
 skin rash  chills  joint pain  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body ,"Dengue ,drink papaya leaf juice ,avoid fatty spicy food ,keep mosquitos away ,keep hydrated <"
 chills  vomiting  fatigue  high fever  headache  nausea  constipation  abdominal pain  diarrhoea  toxic look (typhos)  belly pain ,"Typhoid ,eat high calorie vegitables ,antiboitic therapy ,consult doctor ,medication <"
 joint pain  vomiting  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain ,"hepatitis A ,Consult nearest hospital ,wash hands through ,avoid fatty spicy food ,medication <"
itching  fatigue  lethargy  yellowish skin  dark urine  loss of appetite  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections ,"Hepatitis B ,consult nearest hospital ,vaccination ,eat healthy ,medication <"
 fatigue  yellowish skin  nausea  loss of appetite  yellowing of eyes  family history ,"Hepatitis C ,Consult nearest hospital ,vaccination ,eat healthy ,medication <"
 joint pain  vomiting  fatigue  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes ,"Hepatitis D ,consult doctor ,medication ,eat healthy ,follow up <"
 joint pain  vomiting  fatigue  high fever  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes  acute liver failure  coma  stomach bleeding ,"Hepatitis E ,stop alcohol consumption ,rest ,consult doctor ,medication <"
 vomiting  yellowish skin  abdominal pain  swelling of stomach  distention of abdomen  history of alcohol consumption  fluid overload ,"Alcoholic hepatitis ,stop alcohol consumption ,consult doctor ,medication ,follow up <"
 chills  vomiting  fatigue  weight loss  cough  high fever  breathlessness  sweating  loss of appetite  mild fever  yellowing of eyes  swelled lymph nodes  malaise  phlegm  chest pain  blood in sputum ,"Tuberculosis ,cover mouth ,consult doctor ,medication ,rest <"
 continuous sneezing  chills  fatigue  cough  high fever  headache  swelled lymph nodes  malaise  phlegm  throat irritation  redness of eyes  sinus pressure  runny nose  congestion  chest pain  loss of smell  muscle pain ,"Common Cold ,drink vitamin c rich drinks ,take vapour ,avoid cold food ,keep fever in check <"
 chills  fatigue  cough  high fever  breathlessness  sweating  malaise  phlegm  chest pain  fast heart rate  rusty sputum ,"Pneumonia ,consult doctor ,medication ,rest ,follow up <"
 constipation  pain during bowel movements  pain in anal region  bloody stool  irritation in anus ,"Dimorphic hemmorhoids(piles) ,avoid fatty spicy food ,consume witch hazel ,warm bath with epsom salt ,consume alovera juice <"
 vomiting  breathlessness  sweating  chest pain ,"Heart attack ,call ambulance ,chew or swallow asprin ,keep calm <"
 fatigue  cramps  bruising  obesity  swollen legs  swollen blood vessels  prominent veins on calf ,"Varicose veins ,lie down flat and raise the leg high ,use oinments ,use vein compression ,dont stand still for long <"
 fatigue  weight gain  cold hands and feets  mood swings  lethargy  dizziness  puffy face and eyes  enlarged thyroid  brittle nails  swollen extremeties  depression  irritability  abnormal menstruation ,"Hypothyroidism ,reduce stress ,exercise ,eat healthy ,get proper sleep <"
 fatigue  mood swings  weight loss  restlessness  sweating  diarrhoea  fast heart rate  excessive hunger  muscle weakness  irritability  abnormal menstruation ,"Hyperthyroidism ,eat healthy ,massage ,use lemon balm ,take radioactive iodine treatment <"
 vomiting  fatigue  anxiety  sweating  headache  nausea  blurred and distorted vision  excessive hunger  drying and tingling lips  slurred speech  irritability  palpitations ,"Hypoglycemia ,lie down on side ,check in pulse ,drink sugary drinks ,consult doctor <"
 joint pain  neck pain  knee pain  hip joint pain  swelling joints  painful walking ,"Osteoarthristis ,acetaminophen ,consult nearest hospital ,follow up ,salt baths <"
 muscle weakness  stiff neck  swelling joints  movement stiffness  painful walking ,"Arthritis ,exercise ,use hot and cold therapy ,try acupuncture ,massage <"
 vomiting  headache  nausea  spinning movements  loss of balance  unsteadiness ,"(vertigo) Paroymsal  Positional Vertigo ,lie down ,avoid sudden change in body ,avoid abrupt head movment ,relax <"
 skin rash  pus filled pimples  blackheads  scurring ,"Acne ,bath twice ,avoid fatty spicy food ,drink plenty of water ,avoid too many products <"
 burning micturition  bladder discomfort  foul smell of urine  continuous feel of urine ,"Urinary tract infection ,drink plenty of water ,increase vitamin c intake ,drink cranberry juice ,take probiotics <"
 skin rash  joint pain  skin peeling  silver like dusting  small dents in nails  inflammatory nails ,"Psoriasis ,wash hands with warm soapy water ,stop bleeding using pressure ,consult doctor ,salt baths <"
 skin rash  high fever  blister  red sore around nose  yellow crust ooze ,"Impetigo ,soak affected area in warm water ,use antibiotics ,remove scabs with wet compressed cloth ,consult doctor <"
itching  skin rash  nodal skin eruptions  dischromic  patches ,"Fungal infection ,bath twice ,use detol or neem in bathing water ,keep infected area dry ,use clean cloths <"
 continuous sneezing  shivering  chills  watering from eyes ,"Allergy ,apply calamine ,cover area with bandage ,use ice to compress itching <"
 stomach pain  acidity  ulcers on tongue  vomiting  cough  chest pain ,"GERD ,avoid fatty spicy food ,avoid lying down after eating ,maintain healthy weight ,exercise <"
itching  vomiting  yellowish skin  nausea  loss of appetite  abdominal pain  yellowing of eyes ,"Chronic cholestasis ,cold baths ,anti itch medicine ,consult doctor ,eat healthy <"
itching  skin rash  stomach pain  burning micturition  spotting  urination ,"Drug Reaction ,stop irritation ,consult nearest hospital ,stop taking drug ,follow up <"
 vomiting  indigestion  loss of appetite  abdominal pain  passage of gases  internal itching ,"Peptic ulcer diseae ,avoid fatty spicy food ,consume probiotic food ,eliminate milk ,limit alcohol <"
 muscle wasting  patches in throat  high fever  extra marital contacts ,"AIDS ,avoid open cuts ,wear ppe if possible ,consult doctor ,follow up <"
 fatigue  weight loss  restlessness  lethargy  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria ,"Diabetes ,have balanced diet ,exercise ,consult doctor ,follow up <"
 vomiting  sunken eyes  dehydration  diarrhoea ,"Gastroenteritis ,stop eating solid food for while ,try taking small sips of water ,rest ,ease back into eating <"
 fatigue  cough  high fever  breathlessness  family history  mucoid sputum ,"Bronchial Asthma ,switch to loose cloothing ,take deep breaths ,get away from trigger ,seek help <"
 headache  chest pain  dizziness  loss of balance  lack of concentration ,"Hypertension ,meditation ,salt baths ,reduce stress ,get proper sleep <"
 acidity  indigestion  headache  blurred and distorted vision  excessive hunger  stiff neck  depression  irritability  visual disturbances ,"Migraine ,meditation ,reduce stress ,use poloroid glasses in sun ,consult doctor <"
 back pain  weakness in limbs  neck pain  dizziness  loss of balance ,"Cervical spondylosis ,use heating pad or cold pack ,exercise ,take otc pain reliver ,consult doctor <"
 vomiting  headache  weakness of one body side  altered sensorium ,"Paralysis (brain hemorrhage) ,massage ,eat healthy ,exercise ,consult doctor <"
itching  vomiting  fatigue  weight loss  high fever  yellowish skin  dark urine  abdominal pain ,"Jaundice ,drink plenty of water ,consume milk thistle ,eat fruits and high fiberous food ,medication <"
 chills  vomiting  high fever  sweating  headache  nausea  diarrhoea  muscle pain ,"Malaria ,Consult nearest hospital ,avoid oily food ,avoid non veg food ,keep mosquitos out <"
itching  skin rash  fatigue  lethargy  high fever  headache  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body ,"Chicken pox ,use neem in bathing  ,consume neem leaves ,take vaccine ,avoid public places <"
 skin rash  chills  joint pain  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body ,"Dengue ,drink papaya leaf juice ,avoid fatty spicy food ,keep mosquitos away ,keep hydrated <"
 chills  vomiting  fatigue  high fever  headache  nausea  constipation  abdominal pain  diarrhoea  toxic look (typhos)  belly pain ,"Typhoid ,eat high calorie vegitables ,antiboitic therapy ,consult doctor ,medication <"
 joint pain  vomiting  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain ,"hepatitis A ,Consult nearest hospital ,wash hands through ,avoid fatty spicy food ,medication <"
itching  fatigue  lethargy  yellowish skin  dark urine  loss of appetite  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections ,"Hepatitis B ,consult nearest hospital ,vaccination ,eat healthy ,medication <"
 fatigue  yellowish skin  nausea  loss of appetite  yellowing of eyes  family history ,"Hepatitis C ,Consult nearest hospital ,vaccination ,eat healthy ,medication <"
 joint pain  vomiting  fatigue  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes ,"Hepatitis D ,consult doctor ,medication ,eat healthy ,follow up <"
 joint pain  vomiting  fatigue  high fever  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes  acute liver failure  coma  stomach bleeding ,"Hepatitis E ,stop alcohol consumption ,rest ,consult doctor ,medication <"
 vomiting  yellowish skin  abdominal pain  swelling of stomach  distention of abdomen  history of alcohol consumption  fluid overload ,"Alcoholic hepatitis ,stop alcohol consumption ,consult doctor ,medication ,follow up <"
 chills  vomiting  fatigue  weight loss  cough  high fever  breathlessness  sweating  loss of appetite  mild fever  yellowing of eyes  swelled lymph nodes  malaise  phlegm  chest pain  blood in sputum ,"Tuberculosis ,cover mouth ,consult doctor ,medication ,rest <"
 continuous sneezing  chills  fatigue  cough  high fever  headache  swelled lymph nodes  malaise  phlegm  throat irritation  redness of eyes  sinus pressure  runny nose  congestion  chest pain  loss of smell  muscle pain ,"Common Cold ,drink vitamin c rich drinks ,take vapour ,avoid cold food ,keep fever in check <"
 chills  fatigue  cough  high fever  breathlessness  sweating  malaise  phlegm  chest pain  fast heart rate  rusty sputum ,"Pneumonia ,consult doctor ,medication ,rest ,follow up <"
 constipation  pain during bowel movements  pain in anal region  bloody stool  irritation in anus ,"Dimorphic hemmorhoids(piles) ,avoid fatty spicy food ,consume witch hazel ,warm bath with epsom salt ,consume alovera juice <"
